sample,theta,beta_out,sigma,bEP,bCP,delta,muEI,muIR,muRS,rho,S_0,E_0,I_0,R_0,sig_obs,loglik,loglik.se,flag,file_id,ll_lowIQ
19,46.4189953403882,0.007343702930471,0.107526210543067,0.0219837391893078,-0.0062986278440055,0.0166666666666667,17.6273139522414,46.1868311463244,3.64806255915282,0.002167546071898,0.822291232702229,0.005827355366624,0.0083620614036245,0.163519350527523,0.0622371192912742,-2138.34850862824,1.89160527270825,1,2604,-2139.6243963846814
15,43.6581098596439,0.0019093074244551,0.11544329842125,0.0037958269532283,-0.123123049657756,0.0166666666666667,16.2632338054689,38.1283168963749,1.50645653246252,0.0028920050565741,0.838165347167463,0.0061818614081925,0.0025565324557783,0.153096258968566,0.0896812847292821,-2138.41684407533,0.8644783400969,1,2024,-2138.9999347157254
6,81.6044101540569,0.00061149668966815,0.0990901337805941,0.0766803161132446,-0.0828830044950036,0.0166666666666667,15.3250278928398,75.3242007057544,2.56626732829482,0.0021118123120261,0.836488995223314,0.0070899521247549,0.0028168981954482,0.153604154456482,0.100251565479447,-2138.75295765589,1.47915318375173,1,1405,-2139.7506464783305
11,39.1092897623982,0.0047347901919722,0.100531952319791,0.0540274707153341,-0.0230271213017402,0.0166666666666667,20.0582155854073,38.8425303264449,3.29544226484637,0.003054793266548,0.870016147529237,0.0049105849696269,0.0034693291528629,0.121603938348273,0.0658486087310398,-2138.76801023418,1.54498642901347,1,673,-2139.81010358055
12,41.606450467821,0.0038963631390851,0.102379020757796,0.0912036794901325,-0.0970046788075072,0.0166666666666667,21.2999618970794,40.8116156142305,3.65729068334589,0.0025171541631218,0.851731312211883,0.0051798493882969,0.0058932710145145,0.137195567385305,0.0553355699441158,-2138.79969503336,0.56482081669296,1,408,-2139.1806666742195
7,66.7011069508287,0.0013568370106104,0.111103730105653,0.0567977119928972,-0.0963607991701696,0.0166666666666667,16.8365921830161,58.7687195294088,2.10585594163565,0.0024983874248482,0.870875850953319,0.0071455544068178,0.0055125693207567,0.116466025319106,0.098291020028296,-2138.8774441575,0.777119000890423,1,3276,-2139.401610923601
2,43.2039438341329,0.0054089970869843,0.101135857736913,0.118203243655841,-0.0591956453981637,0.0166666666666667,20.3175150723105,39.3207304156054,1.67194874737872,0.0027361446301491,0.845650451269814,0.005057749462009,0.0034312480030963,0.145860551265081,0.0932760568965471,-2139.01718342741,0.56163756455928,1,3441,-2139.3960079647054
3,36.0837079555495,0.00063047840650757,0.123305337049249,-0.0111586465818575,-0.167473605515456,0.0166666666666667,18.5814053667651,27.7777031325089,1.54876014676089,0.0024229886596183,0.801529177418312,0.0070289596257947,0.0053360644426748,0.186105798513218,0.0420132152511846,-2139.04084807785,0.56326850760997,1,2191,-2139.4207726862332
16,33.64626922894,0.0039277936930824,0.114497050649743,0.0487350226302476,-0.130545485864654,0.0166666666666667,18.3545495928632,28.9992355585986,2.67894196464358,0.0019052831374412,0.778733887288399,0.0078979487389402,0.0046266902441531,0.208741473728508,0.0874269227102438,-2139.06779226557,1.39813904337657,1,2779,-2140.0108370503276
16,29.8410558434832,0.0063535321923779,0.116400544554102,0.0174308296502593,-0.0684446367869857,0.0166666666666667,23.0080808763597,27.5397752333376,3.47641471211721,0.0022919984139243,0.88135241363019,0.0088798320228572,0.0013759732885371,0.108391781058415,0.0368882543092291,-2139.10005205073,0.349225541292438,1,498,-2139.335604678332
